Date	Transaction	Amount	Name	Memo
1/1/2021	ATM	102.99	Withdrawal - ABM - DEPANNEUR BJ 	DEPANNEUR BJ MONTREAL  QC  CA
1/1/2021	FEE	1.5	Interac Network Usage Charge	ABM Fee
1/3/2021	OTHER	600	INTERAC e-Transfer To: Marie Cla	Transferred
1/3/2021	OTHER	3.99	Interac - Purchase - DEPANNEUR V	DEPANNEUR VALLE MONTREAL  QC  CA
1/3/2021	OTHER	99	INTERAC e-Transfer From: COLETTE	Transferred
1/4/2021	OTHER	0.01	Withdrawal to Tangerine Savings 	Transferred
1/4/2021	OTHER	55	INTERAC e-Transfer To: IPTV Diab	Transferred
1/4/2021	ATM	"1,566.99"	Tangerine Credit Card Payment	Credit Card Payment
1/5/2021	OTHER	16.24	Interac - Purchase - ALIMENTATIO	ALIMENTATION P. SAINT-LEON  QC  CA
1/5/2021	OTHER	275.78	Visa Debit - Purchase - SP * HUS	SP * HUSHBLANKETS.CA THORNHILL  CA
1/6/2021	OTHER	4.38	Withdrawal to Tangerine Savings 	Transferred
1/6/2021	OTHER	49	INTERAC e-Transfer From: COLETTE	Transferred
1/6/2021	OTHER	25.22	Interac - Purchase - DEPANNEUR V	DEPANNEUR VALLE MONTREAL  QC  CA
1/7/2021	OTHER	1.97	Withdrawal to Tangerine Savings 	Transferred
1/8/2021	OTHER	0.51	Withdrawal to Tangerine Savings 	Transferred
1/8/2021	OTHER	28.45	Interac - Purchase - MCDONALD'S 	MCDONALD'S #270 ST.LEONARD  QC  CA
1/8/2021	OTHER	75.99	Interac - Purchase - METRO # 042	METRO # 0421 MONTREAL  QC  CA
1/9/2021	OTHER	0.56	Withdrawal to Tangerine Savings 	Transferred
1/13/2021	OTHER	0.6	Withdrawal to Tangerine Savings 	Transferred
1/13/2021	OTHER	31.91	Interac - Purchase - DEPANNEUR V	DEPANNEUR VALLE MONTREAL  QC  CA
1/14/2021	OTHER	0.09	Withdrawal to Tangerine Savings 	Transferred
1/15/2021	OTHER	0.15	Withdrawal to Tangerine Savings 	Transferred
1/15/2021	OTHER	23.54	Interac - Purchase - MCDONALD'S 	MCDONALD'S #533 MONTREAL  QC  CA
1/16/2021	OTHER	0.98	Withdrawal to Tangerine Savings 	Transferred
1/16/2021	OTHER	7.61	Interac - Purchase - DEPANNEUR V	DEPANNEUR VALLE MONTREAL  QC  CA
1/17/2021	OTHER	0.39	Withdrawal to Tangerine Savings 	Transferred
1/17/2021	OTHER	22.6	Interac - Purchase - DEPANNEUR V	DEPANNEUR VALLE MONTREAL  QC  CA
1/18/2021	OTHER	0.4	Withdrawal to Tangerine Savings 	Transferred
1/18/2021	OTHER	206.46	EFT Withdrawal to CIE BELAIR	To CIE BELAIR
1/19/2021	OTHER	0.54	Withdrawal to Tangerine Savings 	Transferred
1/19/2021	OTHER	47.64	Interac - Purchase - CANADIAN TI	CANADIAN TIRE S ST-LEONARD  QC  CA
1/19/2021	OTHER	80.21	Interac - Purchase - ALIMENTATIO	ALIMENTATION P. SAINT-LEON  QC  CA
1/19/2021	OTHER	69.4	Interac - Purchase - SAQ23344 LE	SAQ23344 LE BOU MONTREAL  QC  CA
1/20/2021	OTHER	2.14	Withdrawal to Tangerine Savings 	Transferred
1/20/2021	OTHER	110	INTERAC e-Transfer From: COLETTE	Transferred
1/22/2021	OTHER	171.73	Interac - Purchase - MAXI & CIE 	MAXI & CIE #8956 SAINT-LEON  QC  CA
1/23/2021	OTHER	1.36	Withdrawal to Tangerine Savings 	Transferred
1/24/2021	OTHER	1.14	Withdrawal to Tangerine Savings 	Transferred
1/24/2021	DEBIT	87.28	Bill Payment - SAAQ-PERMIS DE CO	BILLPO
1/25/2021	OTHER	0.72	Withdrawal to Tangerine Savings 	Transferred
1/26/2021	OTHER	900	EFT Deposit from CANADA	From CANADA
1/26/2021	OTHER	900	EFT Deposit from CANADA	From CANADA
1/26/2021	ATM	891.85	Tangerine Credit Card Payment	Credit Card Payment
1/27/2021	OTHER	2.16	Withdrawal to Tangerine Savings 	Transferred
1/29/2021	OTHER	"1,049.98"	EFT Deposit from JMC AUDIO	From JMC AUDIO
1/30/2021	OTHER	52.5	Withdrawal to Tangerine Savings 	Transferred
1/30/2021	OTHER	0.32	Withdrawal to Tangerine Savings 	Transferred
1/30/2021	OTHER	30.24	Interac - Purchase - DEPANNEUR V	DEPANNEUR VALLE MONTREAL  QC  CA
1/31/2021	OTHER	0.76	Withdrawal to Tangerine Savings 	Transferred
1/31/2021	OTHER	13.94	Interac - Purchase - COUCHETARD 	COUCHETARD #365 MONTREAL  QC  CA
1/31/2021	OTHER	0.02	Interest Paid	
2/1/2021	OTHER	0.06	Withdrawal to Tangerine Savings 	Transferred
2/1/2021	OTHER	600	INTERAC e-Transfer To: Marie Cla	Transferred
2/1/2021	OTHER	68.95	Interac - Purchase - CANADIAN TI	CANADIAN TIRE S ST-LEONARD  QC  CA
2/1/2021	OTHER	97.07	Interac - Purchase - MAXI   CIE 	MAXI   CIE #895 SAINT-LEON  QC  CA
2/1/2021	OTHER	17.7	Interac - Purchase - PHARMAPRIX 	PHARMAPRIX #195 SAINT-LEON  QC  CA
2/1/2021	OTHER	4.92	Interac - Purchase - PHARMAPRIX 	PHARMAPRIX #195 SAINT-LEON  QC  CA
2/4/2021	OTHER	0.22	Withdrawal to Tangerine Savings 	Transferred
2/4/2021	OTHER	14.32	Interac - Purchase - COUCHETARD 	COUCHETARD #365 MONTREAL  QC  CA
2/4/2021	OTHER	23.08	Interac - Purchase - Subway 6152	Subway 61523 Montreal  QC  CA
2/5/2021	OTHER	1.6	Withdrawal to Tangerine Savings 	Transferred
2/6/2021	OTHER	1.18	Withdrawal to Tangerine Savings 	Transferred
2/7/2021	OTHER	0.66	Withdrawal to Tangerine Savings 	Transferred
2/7/2021	OTHER	20.53	Interac - Purchase - MCDONALD'S 	MCDONALD'S #270 ST.LEONARD  QC  CA
2/8/2021	OTHER	0.47	Withdrawal to Tangerine Savings 	Transferred
2/10/2021	OTHER	1.43	Withdrawal to Tangerine Savings 	Transferred
2/11/2021	OTHER	0.54	Withdrawal to Tangerine Savings 	Transferred
2/11/2021	OTHER	7.3	Interac - Purchase - DEPANNEUR B	DEPANNEUR BJ MONTREAL  QC  CA
2/12/2021	OTHER	0.7	Withdrawal to Tangerine Savings 	Transferred
2/13/2021	OTHER	91.25	Interac - Purchase - ADDISON ELE	ADDISON ELECTRO MONTREAL  QC  CA
2/14/2021	OTHER	1.25	Withdrawal to Tangerine Savings 	Transferred
2/17/2021	OTHER	0.95	Withdrawal to Tangerine Savings 	Transferred
2/17/2021	OTHER	12.57	Interac - Purchase - BEMOL   LEV	BEMOL   LEVAIN MONTREAL  QC  CA
2/18/2021	OTHER	0.43	Withdrawal to Tangerine Savings 	Transferred
2/18/2021	OTHER	206.46	EFT Withdrawal to CIE BELAIR	To CIE BELAIR
2/18/2021	OTHER	28.93	Interac - Purchase - CANADIAN TI	CANADIAN TIRE # MONTREAL  QC  CA
2/18/2021	OTHER	12.57	Interac - Purchase - BEMOL   LEV	BEMOL   LEVAIN MONTREAL  QC  CA
2/18/2021	OTHER	71.2	Interac - Purchase - THE HOME DE	THE HOME DEPOT MONTREAL  QC  CA
2/19/2021	OTHER	1.84	Withdrawal to Tangerine Savings 	Transferred
2/19/2021	OTHER	275.94	INTERAC e-Transfer From: LES PRO	Transferred
2/20/2021	OTHER	0.61	Withdrawal to Tangerine Savings 	Transferred
2/20/2021	OTHER	38.04	Interac - Purchase - DEPANNEUR V	DEPANNEUR VALLE MONTREAL  QC  CA
2/21/2021	OTHER	0.96	Withdrawal to Tangerine Savings 	Transferred
2/21/2021	OTHER	48.21	Interac - Purchase - RONA ENT. A	RONA ENT. ANJOU ANJOU  QC  CA
2/21/2021	OTHER	40.55	Interac - Purchase - BEST BUY #8	BEST BUY #84 ANJOU  QC  CA
